func,start,end,is_cold,container_id,rep
process,1651676490.090819,1651676490.954916,False,bc155846,0
process,1651676497.51105,1651676498.422681,False,bc155846,0
process,1651676491.087277,1651676491.939282,False,bc155846,0
process,1651676494.347803,1651676495.228367,False,bc155846,0
process,1651676492.109154,1651676493.028191,False,bc155846,0
process,1651676499.605304,1651676500.527394,False,bc155846,0
process,1651676498.589613,1651676499.455087,False,bc155846,0
process,1651676495.385038,1651676496.323773,False,bc155846,0
process,1651676496.50727,1651676497.353403,False,bc155846,0
process,1651676493.220867,1651676494.141113,False,bc155846,0
process,1651676516.02175,1651676516.949862,False,bc155846,1
process,1651676512.881762,1651676513.720238,False,bc155846,1
process,1651676513.924902,1651676514.851562,False,bc155846,1
process,1651676514.987738,1651676515.848397,False,bc155846,1
process,1651676517.129558,1651676518.018888,False,bc155846,1
process,1651676509.638591,1651676510.526672,False,bc155846,1
process,1651676507.621647,1651676508.519752,False,bc155846,1
process,1651676511.810188,1651676512.724059,False,bc155846,1
process,1651676508.677453,1651676509.523875,False,bc155846,1
process,1651676510.748589,1651676511.634612,False,bc155846,1
process,1651676533.615306,1651676534.462659,False,bc155846,2
process,1651676528.476449,1651676529.343384,False,bc155846,2
process,1651676534.651097,1651676535.531222,False,bc155846,2
process,1651676532.580623,1651676533.457402,False,bc155846,2
process,1651676529.541653,1651676530.42406,False,bc155846,2
process,1651676530.58178,1651676531.426264,False,bc155846,2
process,1651676525.246874,1651676526.138309,False,bc155846,2
process,1651676527.450229,1651676528.336219,False,bc155846,2
process,1651676526.341419,1651676527.230027,False,bc155846,2
process,1651676531.58654,1651676532.430398,False,bc155846,2
process,1651676544.553373,1651676545.430529,False,bc155846,3
process,1651676546.661373,1651676547.522702,False,bc155846,3
process,1651676548.726378,1651676549.628505,False,bc155846,3
process,1651676550.796426,1651676551.626566,False,bc155846,3
process,1651676542.485656,1651676543.263423,False,bc155846,3
process,1651676543.50435,1651676544.342031,False,bc155846,3
process,1651676549.813158,1651676550.631265,False,bc155846,3
process,1651676545.621818,1651676546.528621,False,bc155846,3
process,1651676551.806759,1651676552.656378,False,bc155846,3
process,1651676547.687121,1651676548.518898,False,bc155846,3
process,1651676568.400239,1651676569.236653,False,bc155846,4
process,1651676565.263882,1651676566.129375,False,bc155846,4
process,1651676563.179885,1651676564.042879,False,bc155846,4
process,1651676560.175,1651676561.023398,False,bc155846,4
process,1651676567.391724,1651676568.234704,False,bc155846,4
process,1651676561.194408,1651676562.021608,False,bc155846,4
process,1651676564.175596,1651676565.037227,False,bc155846,4
process,1651676569.352964,1651676570.222394,False,bc155846,4
process,1651676566.337367,1651676567.243611,False,bc155846,4
process,1651676562.157985,1651676563.025769,False,bc155846,4
process,1651676583.531196,1651676584.437602,False,bc155846,5
process,1651676584.580789,1651676585.425978,False,bc155846,5
process,1651676577.246739,1651676578.120871,False,bc155846,5
process,1651676578.276371,1651676579.127632,False,bc155846,5
process,1651676582.495967,1651676583.354677,False,bc155846,5
process,1651676580.414724,1651676581.257744,False,bc155846,5
process,1651676581.472876,1651676582.322171,False,bc155846,5
process,1651676586.69325,1651676587.530607,False,bc155846,5
process,1651676579.295097,1651676580.124187,False,bc155846,5
process,1651676585.607508,1651676586.446431,False,bc155846,5
process,1651676598.318613,1651676599.254233,False,bc155846,6
process,1651676599.389964,1651676600.233968,False,bc155846,6
process,1651676594.82823,1651676595.820221,False,bc155846,6
process,1651676601.383391,1651676602.228177,False,bc155846,6
process,1651676597.230404,1651676598.151094,False,bc155846,6
process,1651676603.41791,1651676604.250274,False,bc155846,6
process,1651676595.999397,1651676596.939456,False,bc155846,6
process,1651676602.413004,1651676603.249832,False,bc155846,6
process,1651676600.383391,1651676601.235418,False,bc155846,6
process,1651676604.405987,1651676605.238847,False,bc155846,6
process,1651676616.215011,1651676617.039171,False,bc155846,7
process,1651676621.11782,1651676621.947749,False,bc155846,7
process,1651676613.133243,1651676614.021406,False,bc155846,7
process,1651676617.209921,1651676618.041254,False,bc155846,7
process,1651676619.147221,1651676619.955663,False,bc155846,7
process,1651676614.236032,1651676615.123507,False,bc155846,7
process,1651676618.18745,1651676618.964363,False,bc155846,7
process,1651676620.111019,1651676620.942612,False,bc155846,7
process,1651676615.280967,1651676616.052149,False,bc155846,7
process,1651676612.096077,1651676612.925031,False,bc155846,7
process,1651676632.581675,1651676633.446234,False,bc155846,8
process,1651676634.691105,1651676635.552337,False,bc155846,8
process,1651676633.604232,1651676634.466517,False,bc155846,8
process,1651676637.831432,1651676638.745929,False,bc155846,8
process,1651676635.721612,1651676636.64321,False,bc155846,8
process,1651676631.458787,1651676632.42245,False,bc155846,8
process,1651676629.406622,1651676630.239303,False,bc155846,8
process,1651676638.89215,1651676639.722356,False,bc155846,8
process,1651676636.769285,1651676637.652346,False,bc155846,8
process,1651676630.445575,1651676631.320385,False,bc155846,8
process,1651676650.823925,1651676651.723369,False,bc155846,9
process,1651676651.89872,1651676652.731317,False,bc155846,9
process,1651676652.901367,1651676653.75114,False,bc155846,9
process,1651676649.740997,1651676650.646454,False,bc155846,9
process,1651676654.894599,1651676655.723705,False,bc155846,9
process,1651676647.715713,1651676648.554415,False,bc155846,9
process,1651676653.917542,1651676654.746862,False,bc155846,9
process,1651676648.700346,1651676649.595613,False,bc155846,9
process,1651676655.961064,1651676656.822182,False,bc155846,9
process,1651676646.708598,1651676647.53663,False,bc155846,9
process,1651676667.104027,1651676667.944135,False,bc155846,10
process,1651676663.994298,1651676664.834319,False,bc155846,10
process,1651676672.101684,1651676672.931667,False,bc155846,10
process,1651676668.096934,1651676668.927124,False,bc155846,10
process,1651676665.041461,1651676665.861202,False,bc155846,10
process,1651676670.098618,1651676670.925971,False,bc155846,10
process,1651676673.078665,1651676673.855349,False,bc155846,10
process,1651676669.073641,1651676669.855457,False,bc155846,10
process,1651676671.091086,1651676671.85471,False,bc155846,10
process,1651676666.094988,1651676666.921276,False,bc155846,10
process,1651676684.459286,1651676685.320058,False,bc155846,11
process,1651676687.563003,1651676688.432333,False,bc155846,11
process,1651676685.464662,1651676686.320361,False,bc155846,11
process,1651676686.505684,1651676687.362641,False,bc155846,11
process,1651676690.550105,1651676691.423367,False,bc155846,11
process,1651676683.492106,1651676684.33341,False,bc155846,11
process,1651676688.557316,1651676689.443885,False,bc155846,11
process,1651676682.422396,1651676683.329112,False,bc155846,11
process,1651676689.56924,1651676690.35954,False,bc155846,11
process,1651676681.366441,1651676682.220425,False,bc155846,11
process,1651676705.458807,1651676706.325374,False,bc155846,12
process,1651676701.453911,1651676702.335614,False,bc155846,12
process,1651676698.580129,1651676699.360272,False,bc155846,12
process,1651676704.491248,1651676705.329217,False,bc155846,12
process,1651676699.488384,1651676700.25899,False,bc155846,12
process,1651676700.459699,1651676701.264345,False,bc155846,12
process,1651676707.452378,1651676708.329217,False,bc155846,12
process,1651676702.471594,1651676703.338082,False,bc155846,12
process,1651676706.453903,1651676707.320193,False,bc155846,12
process,1651676703.478742,1651676704.323438,False,bc155846,12
process,1651676718.567538,1651676719.360635,False,bc155846,13
process,1651676723.555674,1651676724.420121,False,bc155846,13
