func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
process,1717174461.867557,1717174462.300756,False,8b72b1ec,377038da-ed55-4dda-984f-719720fe5b34,0,0,b4a552d1,461290.0,0.0,54.0,462.0,256.0,118272.0
process,1717174463.2334,1717174463.663849,False,8b72b1ec,325e6d4e-6ddb-450c-b2ae-06c03386e26c,0,0,b4a552d1,471280.0,0.0,54.0,472.0,256.0,120832.0
gen,1717174457.912715,1717174458.370283,True,a00d5487,19163a3c-9e4e-4489-8bb6-a66fded7fab4,0,0,b4a552d1,537420.0,228900.0,51.0,538.0,256.0,137728.0
process,1717174459.050675,1717174459.520798,True,8b72b1ec,18f026d3-9ff5-4bb1-9ba7-30fc94a6d27e,0,0,b4a552d1,534570.0,235810.0,53.0,535.0,256.0,136960.0
process,1717174462.539643,1717174462.982138,False,8b72b1ec,be17768b-a63f-4533-a551-7f2e24807bf6,0,0,b4a552d1,483710.0,0.0,54.0,484.0,256.0,123904.0
process,1717174459.855199,1717174460.282237,False,8b72b1ec,f6a157a9-f67a-461a-8269-980d5860e9c2,0,0,b4a552d1,470760.0,0.0,53.0,471.0,256.0,120576.0
process,1717174460.509269,1717174460.943523,False,8b72b1ec,367c093c-712b-42cd-8e82-849f143381d2,0,0,b4a552d1,460420.0,0.0,54.0,461.0,256.0,118016.0
process,1717174463.912977,1717174464.34208,False,8b72b1ec,6758bca0-3a17-4b07-9a61-0500e5dfbef5,0,0,b4a552d1,471430.0,0.0,54.0,472.0,256.0,120832.0
process,1717174461.17231,1717174461.600645,False,8b72b1ec,2e80dd1e-ff3d-4b50-aff6-bc21b7ea88f8,0,0,b4a552d1,457390.0,0.0,54.0,458.0,256.0,117248.0
