,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
0,0,0,0,0,8,train,1657102399.126175,1657102399.439816,False,6b08fa4e,a920d9e1-b428-4d85-b4bf-fc5149ab45f1,3d572946,347846.0,0.0,,,,0.0938464595375722
1,1,1,1,1,9,generate,1657102398.713986,1657102398.999301,False,6b08fa4e,e69d9b4f-dc2c-4ed1-a6d7-95cfc85b0163,3d572946,307374.0,0.0,,,,0.0938464595375722
2,2,2,2,2,10,train,1657102399.449072,1657102399.741892,False,6b08fa4e,640c46d0-7ba7-4f21-abb2-8a37a4cc8347,3d572946,646288.0,0.0,,,,0.0938464595375722
3,3,3,3,3,11,run_workflow,1657102399.848077,1657102399.8503911,,,,3d572946,0.0,0.0,,,,0.0
4,4,4,4,4,12,generate,1657102426.191716,1657102426.56628,False,6b08fa4e,c08a422e-e5af-425d-bc1c-c6f9a4e1a57d,56a8b3df,407980.0,0.0,,,,0.0938464595375722
5,5,5,5,5,13,train,1657102426.990789,1657102427.272997,False,6b08fa4e,0f399ea4-0f9c-4009-b45e-396baf04570e,56a8b3df,573312.0,0.0,,,,0.0938464595375722
6,6,6,6,6,14,train,1657102426.712117,1657102426.978822,False,6b08fa4e,5f7f9a20-4e2d-4ff5-a244-41c96b720d5b,56a8b3df,300477.0,0.0,,,,0.0938464595375722
7,7,7,7,7,15,run_workflow,1657102427.371843,1657102427.3741822,,,,56a8b3df,0.0,0.0,,,,0.0
8,8,8,8,8,16,train,1657102454.84891,1657102455.324468,False,6b08fa4e,029c03ca-4e5f-4ad9-8b53-9332b73be293,4fafcd79,809122.0,0.0,,,,0.0938464595375722
9,9,9,9,9,17,generate,1657102454.144055,1657102454.394165,False,6b08fa4e,28fd7f6e-c722-4997-abba-a6a0bebb7ebd,4fafcd79,277873.0,0.0,,,,0.0938464595375722
10,10,10,10,10,18,train,1657102454.55332,1657102454.840584,False,6b08fa4e,de72eda2-0758-4536-97b8-f6da69a46218,4fafcd79,329074.0,0.0,,,,0.0938464595375722
