func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,cpuinfo,request_id
reduce,1704924659.302223,1704924661.198998,True,51cc8873,jsn1eg54qyo1,0,9,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.4634 GHz', 'hz_actual_friendly': '2.4634 GHz', 'hz_advertised': [2463388000, 0], 'hz_actual': [2463388000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
split,1704924629.777304,1704924634.756914,True,0944476d,pyij0xsmdz1o,23001,23000,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.7002 GHz', 'hz_actual_friendly': '2.7002 GHz', 'hz_advertised': [2700232000, 0], 'hz_actual': [2700232000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
shuffle,1704924648.665078,1704924653.740207,True,8905763f,36w88hgsfo9w,0,0,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.6935 GHz', 'hz_actual_friendly': '2.6935 GHz', 'hz_advertised': [2693506000, 0], 'hz_actual': [2693506000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
reduce,1704924659.306513,1704924661.156227,True,a577861e,5rceiny2wz7j,0,9,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.7002 GHz', 'hz_actual_friendly': '2.7002 GHz', 'hz_advertised': [2700244000, 0], 'hz_actual': [2700244000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
map,1704924638.390647,1704924643.656656,True,959d9644,zikqf69owo6u,15,7708,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.7002 GHz', 'hz_actual_friendly': '2.7002 GHz', 'hz_advertised': [2700228000, 0], 'hz_actual': [2700228000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
reduce,1704924657.601368,1704924663.072573,True,89fa1d8a,59zj0uqwibw8,0,9,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.7002 GHz', 'hz_actual_friendly': '2.7002 GHz', 'hz_advertised': [2700245000, 0], 'hz_actual': [2700245000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
reduce,1704924659.499722,1704924664.725787,True,57b6ebd9,jw1812gbxb7v,0,9,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.3516 GHz', 'hz_actual_friendly': '2.3516 GHz', 'hz_advertised': [2351580000, 0], 'hz_actual': [2351580000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
reduce,1704924659.496544,1704924661.292549,True,edae2152,nw73gloxct17,0,9,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.6391 GHz', 'hz_actual_friendly': '2.6391 GHz', 'hz_advertised': [2639120000, 0], 'hz_actual': [2639120000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
map,1704924640.554678,1704924643.356986,True,ac0ddf8c,yx8tpirdh4y3,15,7640,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.4002 GHz', 'hz_actual_friendly': '2.4002 GHz', 'hz_advertised': [2400177000, 0], 'hz_actual': [2400177000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
map,1704924639.943309,1704924642.634089,True,30d2dd03,ncsxo14ecpn5,15,7653,"{'python_version': '3.8.18.final.0 (64 bit)', 'cpuinfo_version': [9, 0, 0], 'cpuinfo_version_string': '9.0.0', 'arch': 'X86_64', 'bits': 64, 'count': 2, 'arch_string_raw': 'x86_64', 'vendor_id_raw': 'GenuineIntel', 'brand_raw': 'unknown', 'hz_advertised_friendly': '2.0002 GHz', 'hz_actual_friendly': '2.0002 GHz', 'hz_advertised': [2000167000, 0], 'hz_actual': [2000167000, 0], 'model': 85, 'family': 6, 'flags': ['3dnowprefetch', 'abm', 'acpi', 'adx', 'aes', 'apic', 'avx', 'avx2', 'avx512bw', 'avx512cd', 'avx512dq', 'avx512f', 'avx512vl', 'bmi1', 'bmi2', 'clflush', 'clflushopt', 'clwb', 'cmov', 'cqm', 'cx16', 'cx8', 'dca', 'de', 'ds_cpl', 'dtes64', 'dts', 'erms', 'est', 'f16c', 'fma', 'fpu', 'fsgsbase', 'fxsr', 'hle', 'ht', 'intel_pt', 'invpcid', 'lahf_lm', 'lm', 'mca', 'mce', 'mmx', 'monitor', 'movbe', 'mpx', 'msr', 'mtrr', 'nx', 'osxsave', 'pae', 'pat', 'pbe', 'pcid', 'pclmulqdq', 'pdcm', 'pdpe1gb', 'pge', 'pku', 'pni', 'popcnt', 'pqe', 'pqm', 'pse', 'pse36', 'rdrand', 'rdrnd', 'rdseed', 'rdt_a', 'rdtscp', 'rtm', 'sdbg', 'sep', 'smap', 'smep', 'smx', 'ss', 'sse', 'sse2', 'sse4_1', 'sse4_2', 'ssse3', 'syscall', 'tm', 'tm2', 'tsc', 'tsc_adjust', 'tsc_deadline_timer', 'tscdeadline', 'vme', 'vmx', 'x2apic', 'xgetbv1', 'xsave', 'xsavec', 'xsaveopt', 'xsaves', 'xtpr'], 'l2_cache_size': 65536, 'l2_cache_line_size': 256, 'l2_cache_associativity': 6, 'stepping': 4}",5141e1f3
