func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
reduce,1704653434.117401,1704653436.466693,True,fe449b02,ed44ec5d-03fa-4d6c-9bd7-a604cae2f05c,0,9,7c4804f5,2377580.0,214260.0,82.0,2378.0,256.0,608768.0
reduce,1704653434.192078,1704653436.589733,True,d13c197b,180ed73b-7914-45dd-8ae4-052dde4cdbfd,0,9,22dbb36f,2407350.0,224080.0,81.0,2408.0,256.0,616448.0
reduce,1704653434.184079,1704653436.623309,True,55c4199d,2327a532-95a3-4ec1-a7c4-2a70aa583449,0,9,b3785dea,2461790.0,224150.0,81.0,2462.0,256.0,630272.0
reduce,1704653433.919418,1704653436.27115,True,0706d0a4,9049fbcb-87d1-43ce-9fcb-5e794e66a4d0,0,9,b165b616,2374390.0,222660.0,81.0,2375.0,256.0,608000.0
reduce,1704653434.300765,1704653436.621262,True,a386d8cb,c0c7f3ad-20ab-4a8f-9755-d3cb2ce1872b,0,9,924e6bce,2341550.0,212800.0,81.0,2342.0,256.0,599552.0
map,1704653428.339181,1704653430.730279,True,f7dfdf07,8ca692a7-0564-4fe8-b36f-abe967fd3b19,15,7661,dca268ac,2398720.0,241470.0,81.0,2399.0,256.0,614144.0
reduce,1704653434.122971,1704653436.432649,True,50c9b5fb,7427ba68-901f-4b66-bbc1-f445fbff0083,0,9,43b2572f,2334530.0,217080.0,81.0,2335.0,256.0,597760.0
reduce,1704653433.970402,1704653436.318315,True,7ae145bd,0339c08e-a798-407f-bf4b-df78e038d35b,0,9,6a76843d,2357280.0,229720.0,81.0,2358.0,256.0,603648.0
map,1704653428.302892,1704653430.722847,True,885aca67,bc2662ac-7865-4159-9281-e894666daef0,15,7670,ba934e3c,2425900.0,196880.0,81.0,2426.0,256.0,621056.0
split,1704653425.32111,1704653427.76411,True,7e07f762,3a7d214f-112a-4731-8640-78b37ef8c662,23001,23000,6aeedc06,2450460.0,224720.0,82.0,2451.0,256.0,627456.0
map,1704653428.519167,1704653430.894686,True,bf04107c,214defac-4e3b-47d7-8b35-9e233ba2cda2,15,7670,e3798508,2390200.0,224660.0,82.0,2391.0,256.0,612096.0
reduce,1704653434.301646,1704653436.619294,True,be115089,938e283e-dc11-4f86-8dcb-86828db8b51e,0,9,924e6bce,2324700.0,211950.0,82.0,2325.0,256.0,595200.0
reduce,1704653433.918381,1704653436.278268,True,1bb5371f,1f096782-56a4-46ec-96e5-71a7c1c16278,0,9,67e8e940,2384580.0,202590.0,81.0,2385.0,256.0,610560.0
reduce,1704653433.983888,1704653436.203414,True,9b81621e,933ebf36-4094-4a0c-b78f-262e174251b4,0,9,dca268ac,2225060.0,210500.0,81.0,2226.0,256.0,569856.0
reduce,1704653434.222936,1704653436.601625,True,8a8448ae,3c97da93-a8bf-497f-a497-27412170eb96,0,9,83d76410,2389090.0,227020.0,81.0,2390.0,256.0,611840.0
reduce,1704653433.934305,1704653436.332175,True,cc5e4d51,7c9d2ae1-4b29-484f-8ae0-b4432410c375,0,9,6aeedc06,2409100.0,223080.0,81.0,2410.0,256.0,616960.0
shuffle,1704653431.378637,1704653433.529146,True,b8207846,59a0aaed-ab17-495f-be5c-f95cdfdd31c2,0,0,2d302452,2161450.0,199260.0,80.0,2162.0,256.0,553472.0
shuffle,1704653431.39988,1704653433.557127,True,a902d086,a39462d6-e97f-4068-b2fb-8b6bced64f3b,0,0,26b04c79,2177780.0,220350.0,80.0,2178.0,256.0,557568.0
reduce,1704653433.852549,1704653436.175018,True,c16e4e98,5c2c2fb5-4725-4c47-8033-49dbf310ed13,0,9,9c7f7a17,2347000.0,220620.0,81.0,2348.0,256.0,601088.0
reduce,1704653433.933453,1704653436.266551,True,6b5ed3ca,885a3d48-37c9-46e3-ae90-5d4ba9ce5a29,0,9,6c156e93,2358200.0,216430.0,81.0,2359.0,256.0,603904.0
map,1704653428.609904,1704653431.010911,True,b3fd8ef7,e2e6efc0-63f9-4496-9c68-f6c6fa2691c1,15,7661,7c4804f5,2410700.0,223540.0,81.0,2411.0,256.0,617216.0
map,1704653428.538078,1704653431.036136,True,b42e9ff4,a32665ad-8da8-44ee-9eb9-b0367654603b,15,7661,7a25f4cb,2519030.0,239070.0,81.0,2520.0,256.0,645120.0
map,1704653428.328486,1704653430.671048,True,aabc0af0,1ee54fe0-5f81-4327-aedc-86174fa2763b,15,7670,67e8e940,2356680.0,194080.0,81.0,2357.0,256.0,603392.0
split,1704653425.534769,1704653427.929758,True,783df8d6,3cb81eeb-d2a3-4ab1-8a37-05a077a0ac30,23001,23000,6a76843d,2411600.0,234480.0,82.0,2412.0,256.0,617472.0
reduce,1704653434.212017,1704653436.614825,True,ef4591be,629e5844-11a1-4e42-894b-2241002d1baa,0,9,22dbb36f,2423660.0,222360.0,81.0,2424.0,256.0,620544.0
map,1704653428.606141,1704653430.967104,True,063ecece,e78241c7-1d9d-4527-9516-7c54fea8794c,15,7670,7c4804f5,2371770.0,216170.0,81.0,2372.0,256.0,607232.0
reduce,1704653434.31913,1704653436.709318,True,302c0bf1,d10e880d-d2ae-4621-93e0-d6a2e2ac718e,0,9,924e6bce,2417490.0,228370.0,82.0,2418.0,256.0,619008.0
map,1704653442.110525,1704653442.421072,False,5f42e464,833b9875-8147-4a81-a1fd-b3d8f57e6677,15,7670,8402cfc3,316620.0,0.0,83.0,317.0,256.0,81152.0
reduce,1704653434.186395,1704653436.575597,True,afa9392d,27224bfa-237d-415f-96ab-5e84c855b3e4,0,9,22dbb36f,2413880.0,225780.0,81.0,2414.0,256.0,617984.0
map,1704653428.499064,1704653430.95657,True,9462650f,7e977794-ade2-4673-832d-926b9b3af959,15,7661,83d76410,2476300.0,221580.0,81.0,2477.0,256.0,634112.0
reduce,1704653433.836613,1704653436.229652,True,e0f18769,f0a596d3-8f95-47d6-8741-09b8044294c9,0,9,600899e6,2400080.0,215820.0,81.0,2401.0,256.0,614656.0
reduce,1704653434.063532,1704653436.510811,True,ef68666d,0b5fe719-2df1-425f-97e0-e0931e7e912d,0,9,1724f97f,2463470.0,213970.0,81.0,2464.0,256.0,630784.0
split,1704653425.335602,1704653427.780745,True,b1f586bc,2fc78569-c4a9-4d99-a073-0538368ce003,23001,23000,8e025ec8,2462940.0,223410.0,82.0,2463.0,256.0,630528.0
reduce,1704653434.188076,1704653436.55963,True,5bd4eff2,9d966891-56dc-4f45-8893-072763917b79,0,9,22dbb36f,2394700.0,225020.0,81.0,2395.0,256.0,613120.0
reduce,1704653433.943929,1704653436.2505,True,7a693023,0986c842-f573-423b-9fb1-4a0af55f45a8,0,9,67e8e940,2313950.0,227130.0,81.0,2314.0,256.0,592384.0
reduce,1704653434.216077,1704653436.511166,True,b1b75efc,1870bb7c-3c3c-4375-8422-2c8f5f3f0850,0,9,83d76410,2318780.0,216240.0,81.0,2319.0,256.0,593664.0
map,1704653428.313276,1704653430.668174,True,05394134,9c253aa7-f10d-452d-bffe-4a7fc2142f82,15,7670,b165b616,2363840.0,222880.0,81.0,2364.0,256.0,605184.0
map,1704653428.383196,1704653430.846052,True,588632e8,7d7767ed-d440-42a9-9adb-b2418f990f7d,15,7670,d06e123d,2479420.0,230840.0,81.0,2480.0,256.0,634880.0
map,1704653428.483744,1704653430.796278,True,2cdd7c5f,ac942aa4-c032-447f-87e9-82ba7fa7cc59,15,7670,83d76410,2318110.0,224890.0,81.0,2319.0,256.0,593664.0
map,1704653428.35035,1704653430.812734,True,bf488338,edd12266-826a-4931-848d-0dc619858d62,15,7670,7c120950,2483170.0,220770.0,82.0,2484.0,256.0,635904.0
reduce,1704653434.192789,1704653436.515125,True,3b9afcb8,d1ec613f-296c-4780-86db-90f48363e590,0,9,b3785dea,2348950.0,220820.0,82.0,2349.0,256.0,601344.0
reduce,1704653434.209622,1704653436.61102,True,feec7dc8,17229486-df17-40bf-a476-7a9b8b48a1e6,0,9,7a25f4cb,2419730.0,222830.0,81.0,2420.0,256.0,619520.0
reduce,1704653434.008787,1704653436.325308,True,1f643231,52c167de-af49-42d8-a44c-aae8bb6f6677,0,9,7c120950,2341150.0,218730.0,81.0,2342.0,256.0,599552.0
