func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
analyse,1655287713.460971,1655287728.710529,False,0413d3db,7f2f7ead-c7f3-425d-85eb-de2cf5fb876b,d97a65d8,15254430.0,0.0,706.0,15255.0,2048.0,31242240.0
summarize,1655287728.812787,1655287728.812852,False,77c79cf4,31daf46a-e5d7-4bc3-ac76-831571c7e2f0,d97a65d8,4410.0,0.0,60.0,5.0,2048.0,10240.0
summarize,1655287728.660432,1655287728.660496,False,9c2134b4,a34e3568-7bbd-4926-a0ad-a3944422832c,0093d6a7,6090.0,0.0,60.0,7.0,2048.0,14336.0
analyse,1655287713.344464,1655287728.391832,False,f9250d49,87ad326a-6492-4645-8616-92e01eb5841c,0093d6a7,15052430.0,0.0,708.0,15053.0,2048.0,30828544.0
analyse,1655287713.345043,1655287728.606006,False,e3f40d81,6c7d010d-60ea-48bf-a0c4-a1ffda89fbe9,0093d6a7,15265200.0,0.0,703.0,15266.0,2048.0,31264768.0
decode,1655287711.586123,1655287713.171621,False,8bb8c9b9,d5bb3bc9-a5c8-4e1f-885c-25125554c046,0093d6a7,1590340.0,0.0,222.0,1591.0,2048.0,3258368.0
analyse,1655287713.466907,1655287728.770109,False,5093ac12,342307b4-ff3e-4413-9e88-f04560275f34,b1937c69,15310560.0,0.0,702.0,15311.0,2048.0,31356928.0
decode,1655287711.59349,1655287713.287563,False,5959ffd9,1eed372d-17d9-43f7-934e-add1a6599fc1,b1937c69,1702740.0,0.0,221.0,1703.0,2048.0,3487744.0
analyse,1655287713.470737,1655287728.554331,False,e09c8019,b0f5a3a5-2c99-49c9-a592-ff1c47d523ca,b1937c69,15090130.0,0.0,707.0,15091.0,2048.0,30906368.0
summarize,1655287728.829675,1655287728.829745,False,07e0e92e,4cf7068a-2b0f-4c94-8adc-bd9406ce5e10,b1937c69,6470.0,0.0,60.0,7.0,2048.0,14336.0
analyse,1655287713.389721,1655287728.523216,False,c7cf5c97,fb47e433-9c9d-41fa-a010-6d9a31242fed,9c23d623,15139430.0,0.0,708.0,15140.0,2048.0,31006720.0
decode,1655287711.582487,1655287713.145309,False,c753a0d5,56f2b7ec-c207-4731-bbe9-e5d8f57cef9d,9c23d623,1568070.0,0.0,221.0,1569.0,2048.0,3213312.0
analyse,1655287713.400821,1655287728.632106,False,4e464f51,488b688e-da38-4089-97ec-1779e617f313,9c23d623,15237380.0,0.0,703.0,15238.0,2048.0,31207424.0
summarize,1655287728.686022,1655287728.686088,False,77c79cf4,1892a220-6d44-4300-b80d-b8a344810e9a,9c23d623,4430.0,0.0,60.0,5.0,2048.0,10240.0
analyse,1655287713.499682,1655287728.254886,False,b9ba0cc5,1a188216-9de2-491b-b03d-0fcb14a963cd,faf51a22,14765280.0,0.0,706.0,14766.0,2048.0,30240768.0
decode,1655287711.612002,1655287713.325731,False,da6bf7a5,444fae07-6380-4bbd-9d40-518224f34441,faf51a22,1718440.0,0.0,221.0,1719.0,2048.0,3520512.0
analyse,1655287713.500977,1655287728.588157,False,b5faa30e,8140988b-fede-48e6-becb-3135c2376566,faf51a22,15091760.0,0.0,709.0,15092.0,2048.0,30908416.0
summarize,1655287728.639708,1655287728.639783,False,07e0e92e,2f6b0ccf-4341-4737-952a-69be7e7e7b15,faf51a22,6970.0,0.0,60.0,7.0,2048.0,14336.0
summarize,1655287728.818961,1655287728.819025,False,9c2134b4,aa0248e6-1038-48d7-beee-76ff27e597ee,c6b59896,7930.0,0.0,60.0,8.0,2048.0,16384.0
decode,1655287711.597494,1655287713.489706,False,97d80a80,36594f53-2a57-47a7-910c-037fd79a7db0,c6b59896,1900760.0,0.0,221.0,1901.0,2048.0,3893248.0
analyse,1655287713.665834,1655287728.757546,False,152c0c67,fd60d540-c3ff-4572-b834-574f5ca52b35,c6b59896,15096500.0,0.0,697.0,15097.0,2048.0,30918656.0
analyse,1655287713.669794,1655287728.599098,False,5b12a6e0,9df5e177-e4c0-4bb9-8e8f-3575e486d6f3,c6b59896,14934910.0,0.0,707.0,14935.0,2048.0,30586880.0
analyse,1655287713.65894,1655287729.44652,False,4a263844,7e9c13c9-77d9-47c1-adc4-382619acd998,6e9e527b,15795390.0,0.0,707.0,15796.0,2048.0,32350208.0
analyse,1655287713.684487,1655287729.141209,False,5b0ff217,4cc67ea4-9cae-4bdd-82f0-a833e846ac07,6e9e527b,15462540.0,0.0,702.0,15463.0,2048.0,31668224.0
summarize,1655287729.506813,1655287729.506882,False,07e0e92e,38c336af-a679-48c8-acd0-87a06e374c1b,6e9e527b,7060.0,0.0,61.0,8.0,2048.0,16384.0
decode,1655287711.614525,1655287713.477554,False,eaf71530,669879f7-3f7e-46e8-8092-a0388bb15cd2,6e9e527b,1867520.0,0.0,222.0,1868.0,2048.0,3825664.0
analyse,1655287713.464178,1655287728.825242,False,51b13b65,7bbca490-1f79-4d4f-9707-524b41acd38e,9f6c94b9,15366430.0,0.0,709.0,15367.0,2048.0,31471616.0
summarize,1655287728.89379,1655287728.893857,False,07e0e92e,56a56e57-799f-42d8-9f5b-35bb5e0712b4,9f6c94b9,6810.0,0.0,60.0,7.0,2048.0,14336.0
analyse,1655287713.473278,1655287728.465006,False,b4e461d8,543a2481-e39b-4c79-be36-a41cf8eec1cb,9f6c94b9,14996960.0,0.0,708.0,14997.0,2048.0,30713856.0
decode,1655287711.607615,1655287713.295919,False,0004215e,ad50c899-6da6-449a-8cba-9c983bf2947c,9f6c94b9,1693540.0,0.0,222.0,1694.0,2048.0,3469312.0
decode,1655287711.613169,1655287713.419066,False,2055ce1a,3367b735-b6b1-48e2-9a4c-2840e059df22,a745892f,1813610.0,0.0,221.0,1814.0,2048.0,3715072.0
summarize,1655287728.676298,1655287728.676365,False,9c2134b4,a582ecd3-97cd-4d04-8de3-85f2f54d1d28,a745892f,6260.0,0.0,60.0,7.0,2048.0,14336.0
analyse,1655287713.587547,1655287728.324798,False,2e7303b3,0981ad10-b6aa-4237-b5c7-0765c26c05df,a745892f,14743540.0,0.0,705.0,14744.0,2048.0,30195712.0
analyse,1655287713.592628,1655287728.617371,False,b0ee9f22,284239cb-0363-42df-91b3-94ad27852d5b,a745892f,15029830.0,0.0,709.0,15030.0,2048.0,30781440.0
analyse,1655287713.521389,1655287728.406284,False,844797ea,0f3a7551-c38e-4c82-b32e-6b96bf4e6fec,75451c87,14889780.0,0.0,705.0,14890.0,2048.0,30494720.0
summarize,1655287728.781258,1655287728.781323,False,07e0e92e,4995e5a3-1ed4-40ed-b6db-20f5f372214f,75451c87,7180.0,0.0,60.0,8.0,2048.0,16384.0
decode,1655287711.664351,1655287713.345187,False,2e95d1ad,ad50f5b2-f111-4195-a175-8e684e0a3977,75451c87,1685790.0,0.0,221.0,1686.0,2048.0,3452928.0
analyse,1655287713.516385,1655287728.72512,False,8f9d26ee,21e3c426-fc92-4f15-8831-fb20fa957c87,75451c87,15214630.0,0.0,710.0,15215.0,2048.0,31160320.0
analyse,1655287713.321343,1655287728.898316,False,11cd481d,73eebfc1-67ba-42e1-a335-448450b13519,a6168ed8,15582350.0,0.0,707.0,15583.0,2048.0,31913984.0
analyse,1655287713.328929,1655287728.673256,False,311944bd,be3d9047-39e6-4ab9-8fd4-9435f3700446,a6168ed8,15349340.0,0.0,710.0,15350.0,2048.0,31436800.0
summarize,1655287728.960373,1655287728.960441,False,07e0e92e,6384d5c0-c86f-4832-a982-14ed44dc4e57,a6168ed8,6940.0,0.0,60.0,7.0,2048.0,14336.0
decode,1655287711.663249,1655287713.1544,False,3cd0fb8e,7ce4dc3a-c0db-4142-94f1-5b048e78c1c6,a6168ed8,1496890.0,0.0,222.0,1497.0,2048.0,3065856.0
analyse,1655287713.60788,1655287728.510837,False,f5aaa419,4317fb12-c27f-4af3-b0f7-682bd3c67d85,f25c4c76,14911450.0,0.0,709.0,14912.0,2048.0,30539776.0
