func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
train,1706460536.822741,1706460541.558423,True,9cdefe68,b1c48c87-8c04-4e55-a315-e56d457d26c5,0,4100256,b5364206,4742960.0,342440.0,198.0,4743.0,1024.0,4856832.0
generate,1706460531.52687,1706460535.635745,True,5787e60a,6b4473c8-3268-436a-93ea-aed65497b122,4100256,0,b5364206,4115750.0,343060.0,170.0,4116.0,1024.0,4214784.0
train,1706460536.726112,1706460540.823563,True,8bb7e860,b5b72e4b-d3f7-4fe0-91fe-2502046387f1,0,4100256,b5364206,4104240.0,267730.0,198.0,4105.0,1024.0,4203520.0
