func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
generate,1706023669.113739,1706023677.28589,True,77fc5797,b6c6885e-f16b-49b8-87a9-84c79e7124cd,4100256,0,a42aa684
train,1706023678.431921,1706023688.217411,True,3bcb3f46,41c0b5b3-27d0-40d2-bf4b-00e81679949c,0,4100256,a42aa684
train,1706023678.426821,1706023688.662052,True,5c5bc3ca,4ea73c79-e59c-469d-8525-8bda213decf4,0,4100256,937e3552
train,1706023678.375239,1706023688.12647,True,2fd0904e,4f263abf-ea09-4505-9f90-8839e20ba129,0,4100256,937e3552
generate,1706023669.034485,1706023677.251064,True,bceef11d,73cd38fd-ea99-4fdf-b842-0b74aafceba6,4100256,0,937e3552
train,1706023678.178072,1706023687.869857,True,a29fa8b8,e31c4c9d-1c66-4065-8a5a-23663ef08d25,0,4100256,12dc3a71
train,1706023678.229549,1706023687.901501,True,eff6d605,4d0423c0-59a2-4652-82f8-b70c50d1ca6c,0,4100256,12dc3a71
generate,1706023669.00556,1706023677.071739,True,e0b6d047,e31e1565-98a2-4638-ad7e-249b6b2f39fd,4100256,0,12dc3a71
train,1706023678.624601,1706023688.574937,True,0167ce65,4586b6ce-724d-45ee-b047-6062b3d2dffc,0,4100256,f78d81bf
train,1706023678.645584,1706023688.63807,True,fc7c0d4f,20c15eae-d259-4c59-87dd-ff36148bef97,0,4100256,f78d81bf
generate,1706023669.15718,1706023677.331099,True,f194f17b,532638a7-ed96-4041-916b-82f3cb5d622c,4100256,0,f78d81bf
train,1706023678.431673,1706023688.082276,True,e190b271,eaa74e7f-b488-4708-9d36-dcd390c970fd,0,4100256,e09c0dbb
generate,1706023669.126808,1706023677.302988,True,47fa9d02,032bf8e6-1df3-4b05-b29c-8cdea52e81c4,4100256,0,e09c0dbb
train,1706023678.440607,1706023688.268473,True,a0f92be1,394efc24-60ea-40ea-b8ba-87e2d89daf77,0,4100256,e09c0dbb
train,1706023678.59073,1706023688.235106,True,cb9fb7a4,9f0e614c-0270-408e-8dbe-b9aa7bd64f62,0,4100256,2d0fb59f
generate,1706023669.200562,1706023677.351999,True,c881b0a8,9797489f-7e5e-4271-bdab-4575463868d7,4100256,0,2d0fb59f
train,1706023678.561194,1706023688.342858,True,01fdb0df,93b515f9-ca10-4e83-ab78-c26e719c023f,0,4100256,2d0fb59f
generate,1706023668.998897,1706023677.09505,True,a70be518,731dd567-6d75-49c7-9c4e-49f26f444812,4100256,0,c449d24d
train,1706023678.355806,1706023687.998051,True,115e1318,6f061bd3-c7bd-4bc9-a485-410a25e1e8cf,0,4100256,c449d24d
train,1706023678.351336,1706023687.932664,True,fee5aa46,ad59d322-636c-4eaa-856d-3c878afbae20,0,4100256,c449d24d
generate,1706023669.15252,1706023677.221254,True,5ad11ab2,cabc60c3-b6eb-402e-9c29-75d7e527d7d6,4100256,0,a2ce229f
train,1706023678.549804,1706023688.855767,True,e7b8b874,fe4eb235-12c1-4626-89e9-be699c823ec2,0,4100256,a2ce229f
train,1706023678.474089,1706023688.41664,True,4cd290b9,75924035-36f7-4db5-8205-4db85608153c,0,4100256,a2ce229f
train,1706023678.465427,1706023688.598127,True,2e0cc4c3,f383cafa-5a6c-4d20-adca-fada77598d43,0,4100256,07ceef0b
train,1706023678.499925,1706023688.448109,True,5caf7c89,f003dd36-5d70-4f30-8cc4-60cdae705e18,0,4100256,07ceef0b
generate,1706023669.191451,1706023677.275785,True,b16e25f8,09361e31-2dca-4c71-97a2-963bb319e31b,4100256,0,07ceef0b
train,1706023678.528063,1706023688.317382,True,981b875f,c5383ed0-a7c2-4a04-984a-fbec11ad949a,0,4100256,456ff1d2
train,1706023678.501138,1706023688.428678,True,a9a019ea,312eea57-5db2-4643-b733-15135419f9e7,0,4100256,456ff1d2
generate,1706023669.17876,1706023677.151209,True,041e1cbe,32dcbdd0-adc4-4317-8108-6d7cf76cdb8f,4100256,0,456ff1d2
train,1706023678.35348,1706023688.121303,True,70aa7f70,09ef78d7-d77d-441a-b3f5-9055be05c371,0,4100256,629da579
generate,1706023669.157635,1706023677.152232,True,89b6daaf,38c8997e-fb7e-465b-a140-c9ef8723255e,4100256,0,629da579
train,1706023678.35951,1706023688.059694,True,b27f0f19,70b23507-e5c4-4e99-8684-9915a6f14afc,0,4100256,629da579
generate,1706023669.116265,1706023677.293491,True,11a745c0,7e2e547e-6b32-48f0-8a47-bf60ec68628d,4100256,0,4c8692e3
train,1706023678.434093,1706023688.129325,True,b21e2f65,494e8b6d-4b83-4626-beea-a82e8348abbf,0,4100256,4c8692e3
train,1706023678.414578,1706023688.337354,True,dfab28dd,428689d4-f8bc-4e36-ad27-06232dc4276a,0,4100256,4c8692e3
train,1706023678.362081,1706023687.956726,True,beb1ce44,e7b5efff-6aff-430c-b34b-961a7f72b2e7,0,4100256,293e35ed
train,1706023678.403888,1706023688.038919,True,dd955a27,fdf56f47-a50e-41b7-9423-7d063aa604ca,0,4100256,293e35ed
generate,1706023669.191378,1706023677.239065,True,b61f616e,be44f5bc-81be-4d6f-b5db-dbfded474018,4100256,0,293e35ed
train,1706023678.565334,1706023688.557182,True,51f6e706,8e85e6ad-3cc5-46ac-b269-d463dacdb636,0,4100256,cff80313
train,1706023678.533991,1706023687.391481,True,1b2e9129,7f0ed43d-e58b-44b6-86bd-b7475eb5e4fb,0,4100256,cff80313
generate,1706023669.196494,1706023677.296575,True,8ef87509,76aa69ce-2dd7-4b01-945e-fb0becedaf2c,4100256,0,cff80313
generate,1706023669.143777,1706023677.138776,True,a015052c,a20e7070-5862-401f-bdf6-8dea73212ae5,4100256,0,b737a200
train,1706023678.360436,1706023688.053875,True,6eedab84,3bba4042-e172-4948-bb69-88012165068c,0,4100256,b737a200
train,1706023678.375008,1706023687.915293,True,a7cc52de,6a31116c-4c56-41d1-a550-b12d904576bb,0,4100256,b737a200
