func,start,end,request_id,is_cold,container_id,provider.request_id,blob.upload,blob.download,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
run_workflow,1706559914.797217,1706559914.798643,d86fd0ac,,,,,,0.0,0.0,,,,0.0
process,1706559913.460179,1706559914.462128,d86fd0ac,False,56607f25,8befacaa-6c7d-4121-ac37-1302e8625523,0.0,0.0,4965804.0,0.0,,,,0.0
generate,1706559906.837176,1706559906.842067,d86fd0ac,True,56607f25,2cd94308-d604-402f-932b-813b1a3dd20b,0.0,0.0,178434.0,0.0,,,,0.0
process,1706559911.540208,1706559912.542417,d86fd0ac,False,27193631,66cc3193-b1e1-49ab-995c-0cff1c3887b9,0.0,0.0,3059552.0,0.0,,,,0.0
generate,1706559906.953212,1706559906.955466,40897bfc,False,27193631,605dac11-3aca-4d36-afa8-84f6fa86455f,0.0,0.0,43482.0,0.0,,,,0.0
run_workflow,1706559913.739312,1706559913.7419631,40897bfc,,,,,,0.0,0.0,,,,0.0
process,1706559912.448829,1706559913.450698,40897bfc,False,56607f25,a9bf7004-b425-47ef-8852-ee5cb3462e5e,0.0,0.0,6003893.0,0.0,,,,0.0
process,1706559910.473257,1706559911.475398,40897bfc,False,27193631,f7e839ce-f3ae-46db-8857-d939f56b4774,0.0,0.0,4054919.0,0.0,,,,0.0
run_workflow,1706559942.795901,1706559942.81071,97c442ad,,,,,,0.0,0.0,,,,0.0
generate,1706559926.761848,1706559926.763013,97c442ad,False,2318d52b,a7ff3da7-8868-435e-8170-478a4e377f3b,0.0,0.0,95180.0,0.0,,,,0.0
process,1706559933.630514,1706559934.632416,97c442ad,False,abec1f38,8142adc0-2af0-49b9-b27e-14d29eb1cd67,0.0,0.0,4014773.0,0.0,,,,0.0
process,1706559932.619317,1706559933.62116,97c442ad,False,abec1f38,1d1421cd-7421-4655-84c4-3fadb0aba092,0.0,0.0,3018028.0,0.0,,,,0.0
generate,1706559947.456238,1706559947.45735,78ec0cc6,False,56607f25,259b0678-3fba-49b6-9330-78e372cbb6c1,0.0,0.0,130437.0,0.0,,,,0.0
process,1706559961.260138,1706559962.267312,78ec0cc6,False,56607f25,67c29fc2-f5ca-4bb1-ba97-9b2e3244b373,0.0,0.0,9165789.0,0.0,,,,0.0
run_workflow,1706559966.651413,1706559966.666386,78ec0cc6,,,,,,0.0,0.0,,,,0.0
process,1706559960.23606,1706559961.237675,78ec0cc6,False,56607f25,5e8bfc50-9e5f-4ed7-b598-e6ce11e6cfd5,0.0,0.0,8173698.0,0.0,,,,0.0
generate,1706559906.710154,1706559906.712749,7c10108c,False,27193631,026f6e45-22f6-4afd-ab7d-b6d690f0f90b,0.0,0.0,0.0,0.0,,,,0.0
process,1706559909.403677,1706559910.406601,7c10108c,False,56607f25,4885f4c3-11b3-4691-9ce2-f42ff1398e6d,0.0,0.0,3022233.0,0.0,,,,0.0
process,1706559908.36649,1706559909.367674,7c10108c,False,56607f25,db49c407-9c66-4afe-810b-18f8a3e521a8,0.0,0.0,2045645.0,0.0,,,,0.0
run_workflow,1706559912.810525,1706559912.815989,7c10108c,,,,,,0.0,0.0,,,,0.0
process,1706559932.361553,1706559933.362515,7ab2f9ab,False,2318d52b,0ab44f4f-ff42-4742-87d6-8c863ad5eb13,0.0,0.0,6141810.0,0.0,,,,0.0
process,1706559934.383934,1706559935.385817,7ab2f9ab,False,2318d52b,8a24663d-a52c-4bb0-86bd-186e0c3323ce,0.0,0.0,8125682.0,0.0,,,,0.0
generate,1706559926.292027,1706559926.292659,7ab2f9ab,False,2318d52b,0cb1d008-a917-4c6e-886f-d9798f5ef315,0.0,0.0,77384.0,0.0,,,,0.0
run_workflow,1706559942.775749,1706559942.7774482,7ab2f9ab,,,,,,0.0,0.0,,,,0.0
run_workflow,1706559966.535439,1706559966.5403922,c42bf00b,,,,,,0.0,0.0,,,,0.0
process,1706559958.193016,1706559959.194899,c42bf00b,False,56607f25,51b5e36f-c362-47e7-acc1-ccb64b1762e0,0.0,0.0,8222805.0,0.0,,,,0.0
generate,1706559947.417072,1706559947.419466,c42bf00b,False,56607f25,07a0f637-b619-4bd3-be9b-8b4924c95324,0.0,0.0,92646.0,0.0,,,,0.0
process,1706559959.20409,1706559960.205957,c42bf00b,False,56607f25,f72fd78c-c7c5-471d-8e68-fe7f5510e636,0.0,0.0,9214181.0,0.0,,,,0.0
generate,1706559926.168125,1706559926.174346,5be0f500,True,2318d52b,46f33c8a-ec37-47ff-bb21-44d40dcc6000,0.0,0.0,128596.0,0.0,,,,0.0
process,1706559928.07942,1706559929.083066,5be0f500,False,2318d52b,2cac3eb3-dca9-4959-a36e-9a91e7aaa224,0.0,0.0,2012595.0,0.0,,,,0.0
process,1706559931.297133,1706559932.31037,5be0f500,False,2318d52b,9ead4c75-cdf0-4b4b-b0be-1b16b80660fa,0.0,0.0,5129016.0,0.0,,,,0.0
run_workflow,1706559943.085347,1706559943.0893228,5be0f500,,,,,,0.0,0.0,,,,0.0
run_workflow,1706559966.509308,1706559966.5204158,72ccf4af,,,,,,0.0,0.0,,,,0.0
process,1706559956.499804,1706559957.502234,72ccf4af,False,abec1f38,4c444ba1-03ee-4b39-929b-51fa6bd2f1e7,0.0,0.0,1019698.0,0.0,,,,0.0
process,1706559957.509786,1706559958.512558,72ccf4af,False,abec1f38,65cc74f5-6289-4f3f-bcd2-6a78eb753be9,0.0,0.0,2018373.0,0.0,,,,0.0
generate,1706559947.654559,1706559947.65544,72ccf4af,False,56607f25,497aa1e7-2fb2-43d6-8077-5a4aae958acc,0.0,0.0,134140.0,0.0,,,,0.0
process,1706559936.418593,1706559937.423524,2e40b6e7,False,2318d52b,9666fff3-c964-4aec-ae46-4f688875cc3f,0.0,0.0,10167042.0,0.0,,,,0.0
run_workflow,1706559943.046294,1706559943.047365,2e40b6e7,,,,,,0.0,0.0,,,,0.0
generate,1706559926.230802,1706559926.231499,2e40b6e7,False,2318d52b,97d473a4-d066-4195-a79a-1d31d08d0d3b,0.0,0.0,118677.0,0.0,,,,0.0
process,1706559930.267411,1706559931.286303,2e40b6e7,False,2318d52b,9fa6f4a6-310c-495c-bc70-f40f81dd4b94,0.0,0.0,4104972.0,0.0,,,,0.0
process,1706559908.402442,1706559909.404259,89a528dc,False,27193631,ef6aa17f-12bb-41bf-ba7d-7158fc5bdfa6,0.0,0.0,2030665.0,0.0,,,,0.0
generate,1706559906.740673,1706559906.741123,89a528dc,False,27193631,1e4905a9-d35a-4568-9d3d-370db6df1d6a,0.0,0.0,0.0,0.0,,,,0.0
run_workflow,1706559912.692331,1706559912.7054012,89a528dc,,,,,,0.0,0.0,,,,0.0
process,1706559907.38523,1706559908.388548,89a528dc,False,27193631,80897ff3-ce39-400f-8cac-79214c67d0f5,0.0,0.0,1043580.0,0.0,,,,0.0
generate,1706559926.200867,1706559926.204752,415ca19c,False,2318d52b,99574c3e-b898-437a-9b0f-13beafa5410c,0.0,0.0,179504.0,0.0,,,,0.0
run_workflow,1706559942.943328,1706559942.9446182,415ca19c,,,,,,0.0,0.0,,,,0.0
process,1706559927.060811,1706559928.069541,415ca19c,False,2318d52b,a389ffa9-f2f4-47a9-bedd-02e8c449a9d5,0.0,0.0,1043569.0,0.0,,,,0.0
process,1706559933.372598,1706559934.374754,415ca19c,False,2318d52b,3e8aaa4f-43b7-4ec2-920e-d17e3e3f6e73,0.0,0.0,7147477.0,0.0,,,,0.0
process,1706559925.203488,1706559926.205421,04452cba,False,abec1f38,69e00e92-5526-42a1-b358-7589c8b1ab07,0.0,0.0,8046825.0,0.0,,,,0.0
run_workflow,1706559926.536312,1706559926.547366,04452cba,,,,,,0.0,0.0,,,,0.0
process,1706559924.193169,1706559925.195742,04452cba,False,abec1f38,ff09a343-b056-44b1-96ee-7e07db881347,0.0,0.0,7045679.0,0.0,,,,0.0
generate,1706559917.677506,1706559917.678582,04452cba,False,abec1f38,6609b1ba-77a7-4787-8b64-c4678627daed,0.0,0.0,107409.0,0.0,,,,0.0
run_workflow,1706559943.006424,1706559943.014914,5ab8a6b0,,,,,,0.0,0.0,,,,0.0
process,1706559929.12899,1706559930.131746,5ab8a6b0,False,2318d52b,0affdc4b-abf3-405d-9e21-c1c03264818c,0.0,0.0,3014574.0,0.0,,,,0.0
generate,1706559926.552497,1706559926.556229,5ab8a6b0,False,2318d52b,5c48f86c-8a61-4934-8c1b-1cdeef21a33c,0.0,0.0,233721.0,0.0,,,,0.0
process,1706559935.396039,1706559936.398067,5ab8a6b0,False,2318d52b,03d51341-af80-408b-b50e-2360aa797054,0.0,0.0,9132499.0,0.0,,,,0.0
process,1706559962.284857,1706559963.290553,76740d02,False,56607f25,572b3e88-566f-4385-a9d7-7a43c6b5399e,0.0,0.0,10172275.0,0.0,,,,0.0
generate,1706559947.471929,1706559947.472778,76740d02,False,56607f25,d9a42b75-4438-4b3f-aa61-7e8f07f0b930,0.0,0.0,119548.0,0.0,,,,0.0
run_workflow,1706559966.945847,1706559966.9471471,76740d02,,,,,,0.0,0.0,,,,0.0
process,1706559965.496088,1706559966.498299,76740d02,False,56607f25,032c44b7-06e4-4db1-a52b-6e4c8bc069e0,0.0,0.0,10284480.0,0.0,,,,0.0
run_workflow,1706559966.787064,1706559966.8155007,eb84ccc5,,,,,,0.0,0.0,,,,0.0
process,1706559956.169793,1706559957.171769,eb84ccc5,False,56607f25,bdee8362-4723-4e2f-a432-f485ef489e83,0.0,0.0,9084533.0,0.0,,,,0.0
generate,1706559947.004861,1706559947.005769,eb84ccc5,False,56607f25,e6cef566-30d7-4340-82c1-81670bce0e49,0.0,0.0,176114.0,0.0,,,,0.0
process,1706559950.939073,1706559951.941102,eb84ccc5,False,56607f25,e99f69b2-d18a-43a0-8968-e21f8a8fc7c3,0.0,0.0,3943961.0,0.0,,,,0.0
run_workflow,1706559966.756354,1706559966.757934,817b1b5b,,,,,,0.0,0.0,,,,0.0
generate,1706559946.900541,1706559946.901599,817b1b5b,False,56607f25,872ccd35-f194-4773-81ec-9ab8ae089aa1,0.0,0.0,92781.0,0.0,,,,0.0
process,1706559953.108439,1706559954.120113,817b1b5b,False,56607f25,250f3288-684e-4eb4-b391-163004209d84,0.0,0.0,6096651.0,0.0,,,,0.0
process,1706559949.911012,1706559950.912964,817b1b5b,False,56607f25,a2dcf5a5-a1f5-46a9-86f1-71edc52f6384,0.0,0.0,2979890.0,0.0,,,,0.0
run_workflow,1706559966.587452,1706559966.600193,0b63166c,,,,,,0.0,0.0,,,,0.0
process,1706559947.885498,1706559948.889318,0b63166c,False,56607f25,09f1a403-fd0b-4a04-9656-c73a4a73a8a0,0.0,0.0,1037560.0,0.0,,,,0.0
process,1706559954.128906,1706559955.130714,0b63166c,False,56607f25,1e5125c2-9dc2-4f88-abac-06dda0075ad1,0.0,0.0,7062745.0,0.0,,,,0.0
generate,1706559946.931516,1706559946.934287,0b63166c,False,56607f25,2bfd13fc-150a-4ff3-aaaa-519f01c672a1,0.0,0.0,152275.0,0.0,,,,0.0
process,1706559909.434534,1706559910.458701,b041d27a,False,27193631,c13477ca-9a91-489e-bdcf-4e44580a1b78,0.0,0.0,3049574.0,0.0,,,,0.0
process,1706559911.436061,1706559912.440292,b041d27a,False,56607f25,8a559101-4055-4100-9265-ab3fbc9add82,0.0,0.0,5020083.0,0.0,,,,0.0
run_workflow,1706559912.861704,1706559912.863687,b041d27a,,,,,,0.0,0.0,,,,0.0
generate,1706559906.758316,1706559906.759575,b041d27a,False,27193631,7f9fb6e5-4213-4dd4-bacd-5429e4030557,0.0,0.0,0.0,0.0,,,,0.0
process,1706559931.608413,1706559932.6104,8e8c9f6c,False,abec1f38,0bf2926b-f4eb-49f2-931c-b89183408217,0.0,0.0,2018875.0,0.0,,,,0.0
process,1706559934.642783,1706559935.644902,8e8c9f6c,False,abec1f38,59b588c1-807f-4ab8-a0a7-430331ac7004,0.0,0.0,5013583.0,0.0,,,,0.0
generate,1706559926.772316,1706559926.773019,8e8c9f6c,False,2318d52b,b88c14ad-e8db-475a-a643-374476a3621e,0.0,0.0,69540.0,0.0,,,,0.0
run_workflow,1706559942.719716,1706559942.733309,8e8c9f6c,,,,,,0.0,0.0,,,,0.0
process,1706559955.139905,1706559956.141792,9fa036e5,False,56607f25,5e635c10-c1ae-44f5-be7b-ab99c3447619,0.0,0.0,8080858.0,0.0,,,,0.0
process,1706559957.181191,1706559958.183913,9fa036e5,False,56607f25,f17fd274-8ef3-452e-87d6-688998ba3917,0.0,0.0,10087519.0,0.0,,,,0.0
generate,1706559947.059942,1706559947.061198,9fa036e5,False,56607f25,57ecd321-c704-4e63-ab64-43c4021a5d1d,0.0,0.0,246819.0,0.0,,,,0.0
run_workflow,1706559966.878341,1706559966.89596,9fa036e5,,,,,,0.0,0.0,,,,0.0
process,1706559910.415354,1706559911.41736,4b6136ff,False,56607f25,30c4932b-fa21-466f-9172-a0d20c96fe17,0.0,0.0,4027039.0,0.0,,,,0.0
run_workflow,1706559912.744929,1706559912.7468228,4b6136ff,,,,,,0.0,0.0,,,,0.0
process,1706559907.353794,1706559908.356276,4b6136ff,False,56607f25,3b1e1064-7b8d-4798-b939-6fcc1070dc88,0.0,0.0,1041323.0,0.0,,,,0.0
generate,1706559906.774379,1706559906.775425,4b6136ff,False,27193631,fed63bd3-b67c-4900-bfce-8ade75435340,0.0,0.0,0.0,0.0,,,,0.0
generate,1706559926.60936,1706559926.615105,781fb431,False,2318d52b,7609c9cb-990f-4e2b-92f6-82cf36e80603,0.0,0.0,123184.0,0.0,,,,0.0
process,1706559937.433806,1706559938.436775,781fb431,False,2318d52b,c286e97b-77ed-4233-af0b-132b3e908863,0.0,0.0,9250522.0,0.0,,,,0.0
process,1706559938.477713,1706559939.480547,781fb431,False,2318d52b,67ced4ba-8eaf-4534-9aae-56bd2b3be881,0.0,0.0,10250254.0,0.0,,,,0.0
run_workflow,1706559942.848208,1706559942.870123,781fb431,,,,,,0.0,0.0,,,,0.0
run_workflow,1706559966.852209,1706559966.856712,d1f96dce,,,,,,0.0,0.0,,,,0.0
process,1706559964.436983,1706559965.441283,d1f96dce,False,56607f25,f740f81e-c7d1-40ed-b3c0-26f9dd737cab,0.0,0.0,10272945.0,0.0,,,,0.0
generate,1706559947.57833,1706559947.579041,d1f96dce,False,56607f25,f7e6121f-775a-4b10-a15b-e3516de1c48c,0.0,0.0,107885.0,0.0,,,,0.0
process,1706559963.422505,1706559964.42459,d1f96dce,False,56607f25,d0ef93b8-4a63-4480-bbfd-48189e44b506,0.0,0.0,10272302.0,0.0,,,,0.0
process,1706559951.951263,1706559952.953344,ea948652,False,56607f25,5f4add15-040a-46f4-a830-622757a45511,0.0,0.0,4983319.0,0.0,,,,0.0
generate,1706559946.843212,1706559946.844073,ea948652,False,56607f25,11705da8-57cd-41ad-b842-773e20cac9d6,0.0,0.0,22984.0,0.0,,,,0.0
run_workflow,1706559963.301183,1706559963.307451,ea948652,,,,,,0.0,0.0,,,,0.0
process,1706559948.898797,1706559949.900717,ea948652,False,56607f25,39aee6e5-76c3-4e18-8531-e8888a3fdfbc,0.0,0.0,1988621.0,0.0,,,,0.0
process,1706559939.491437,1706559940.493278,3e08ce41,False,2318d52b,27e7d85a-672f-4388-8af2-108f13b2c66f,0.0,0.0,10203217.0,0.0,,,,0.0
generate,1706559926.668892,1706559926.669971,3e08ce41,False,2318d52b,7ce312c0-e36a-4e06-ae42-2bc0303310a8,0.0,0.0,121274.0,0.0,,,,0.0
run_workflow,1706559943.151983,1706559943.1560652,3e08ce41,,,,,,0.0,0.0,,,,0.0
process,1706559930.595427,1706559931.599235,3e08ce41,False,abec1f38,92d649ac-f260-43a2-8d74-f75a01d788b4,0.0,0.0,1020400.0,0.0,,,,0.0
process,1706559940.660277,1706559941.665215,2effdc1b,False,2318d52b,905f5f1b-8f72-4cf7-a5bc-88e60ff8399c,0.0,0.0,9252571.0,0.0,,,,0.0
run_workflow,1706559943.1206,1706559943.121762,2effdc1b,,,,,,0.0,0.0,,,,0.0
generate,1706559926.750515,1706559926.751776,2effdc1b,False,2318d52b,db6c0562-0342-4b9f-bb72-88296d8631d7,0.0,0.0,79897.0,0.0,,,,0.0
process,1706559941.701751,1706559942.707433,2effdc1b,False,2318d52b,24f2d0aa-2034-462e-9f0f-70197526f7ba,0.0,0.0,10297566.0,0.0,,,,0.0
process,1706559923.181082,1706559924.183635,19340f72,False,abec1f38,552ee46c-27fd-4e33-97af-44444b33bb4c,0.0,0.0,6053414.0,0.0,,,,0.0
process,1706559922.162707,1706559923.170824,19340f72,False,abec1f38,a3140f41-37b3-4162-8852-3cdb781a6535,0.0,0.0,5060277.0,0.0,,,,0.0
generate,1706559917.668531,1706559917.669503,19340f72,False,abec1f38,05edfdde-bf48-4736-9153-b49a644d9ec0,0.0,0.0,81666.0,0.0,,,,0.0
run_workflow,1706559926.44708,1706559926.448389,19340f72,,,,,,0.0,0.0,,,,0.0
generate,1706559917.580294,1706559917.581209,a680ba35,False,abec1f38,457f20c4-f0e9-4614-97d3-c6681c525fab,0.0,0.0,117622.0,0.0,,,,0.0
process,1706559919.108206,1706559920.110022,a680ba35,False,abec1f38,105c1e5a-054d-4601-9206-4b323f0e8443,0.0,0.0,2174420.0,0.0,,,,0.0
run_workflow,1706559926.40074,1706559926.4104822,a680ba35,,,,,,0.0,0.0,,,,0.0
process,1706559918.081778,1706559919.1005,a680ba35,False,abec1f38,aebdf843-cb15-4959-849e-1ef1dc3f4055,0.0,0.0,1166234.0,0.0,,,,0.0
process,1706559920.120797,1706559921.131957,79800dbe,False,abec1f38,698a5fda-db18-40ec-915e-846331861320,0.0,0.0,3110549.0,0.0,,,,0.0
process,1706559921.143836,1706559922.153939,79800dbe,False,abec1f38,ab9d78b6-aa1f-4d5c-9816-e9879c7b3d5c,0.0,0.0,4095105.0,0.0,,,,0.0
generate,1706559917.632166,1706559917.632989,79800dbe,False,abec1f38,6aaf86e1-cd6b-4b05-ba00-b22e5f2b5a9a,0.0,0.0,121850.0,0.0,,,,0.0
run_workflow,1706559926.520528,1706559926.522095,79800dbe,,,,,,0.0,0.0,,,,0.0
