,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,func,start,end,request_id,is_cold,container_id,provider.request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
0,0,0,0,0,2,run_workflow,1657102558.107233,1657102558.108488,b72267e0,,,,0.0,0.0,,,,0.0
1,1,1,1,1,3,auth,1657102557.897044,1657102557.968293,b72267e0,False,3a0032f5,2125038c-410c-4e8f-a6a2-41fe4d4fcdf9,118305.0,0.0,,,,0.0533575129533678
2,2,2,2,2,4,run_workflow,1657102612.890767,1657102612.89211,2f0d6032,,,,0.0,0.0,,,,0.0
3,3,3,3,3,5,auth,1657102612.798914,1657102612.822899,2f0d6032,False,3a0032f5,fc3cad21-3f46-41f4-871d-6b3364ea720b,41463.0,0.0,,,,0.0533575129533678
4,4,4,4,4,6,run_workflow,1657102634.654047,1657102634.6564,8c24324f,,,,0.0,0.0,,,,0.0
5,5,5,5,5,7,auth,1657102634.500118,1657102634.552754,8c24324f,False,7dfd8dc4,ca15adc0-de2b-4fbe-9b41-1eeba1a5d642,75206.0,0.0,,,,0.0533575129533678
6,6,6,6,6,8,run_workflow,1657102669.756863,1657102669.761732,293107b7,,,,0.0,0.0,,,,0.0
7,7,7,7,7,9,auth,1657102669.670893,1657102669.697312,293107b7,False,3a0032f5,bf6b5673-06b2-4de8-8435-58cc7bd162ca,40208.0,0.0,,,,0.0533575129533678
8,8,8,8,8,10,run_workflow,1657102696.228646,1657102696.231665,5db4d23b,,,,0.0,0.0,,,,0.0
9,9,9,9,9,11,auth,1657102695.12448,1657102695.150473,5db4d23b,False,3a0032f5,eabe92b4-1d37-4a5c-af82-0cbb4d5b1570,1064437.0,0.0,,,,0.0533575129533678
10,10,10,10,10,12,auth,1657102722.728331,1657102722.756477,64b9d698,False,3a0032f5,55e057bc-000f-4ed2-b108-3eca744b9a8e,44271.0,0.0,,,,0.0533575129533678
11,11,11,11,11,13,run_workflow,1657102722.810569,1657102722.812251,64b9d698,,,,0.0,0.0,,,,0.0
12,12,12,12,12,14,auth,1657102749.373822,1657102749.400247,b13ddedb,False,3a0032f5,4cb8d227-ee42-4c48-980c-8b5e6ebb998d,45241.0,0.0,,,,0.0533575129533678
13,13,13,13,13,15,run_workflow,1657102749.471689,1657102749.47328,b13ddedb,,,,0.0,0.0,,,,0.0
14,14,14,14,14,16,run_workflow,1657102778.917735,1657102778.922949,c14b6607,,,,0.0,0.0,,,,0.0
15,15,15,15,15,17,auth,1657102777.828659,1657102777.85132,c14b6607,False,3a0032f5,efb7a867-0cc8-4c98-afe7-efd32f4b6610,1048331.0,0.0,,,,0.0533575129533678
16,16,16,16,16,18,run_workflow,1657102809.833898,1657102809.836809,801d6047,,,,0.0,0.0,,,,0.0
17,17,17,17,17,19,auth,1657102808.715175,1657102808.745649,801d6047,False,3a0032f5,b37381f2-ea41-4b80-ba78-a74048e6cba5,1071538.0,0.0,,,,0.0533575129533678
