func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
summarize,1706233668.457447,1706233668.469815,False,5be2f8b6,4f78425a-30ee-487b-a125-ccc6339670d5,0.0,0.0,06308e50
run_workflow,1706233668.55065,1706233668.5525649,,,,,,06308e50
analyse,1706233626.948071,1706233668.042476,False,5be2f8b6,7793b4f5-4616-4f54-ab8b-44b15d3af489,0.0,249051914.0,06308e50
decode,1706233252.321326,1706233254.177733,False,67fbd938,9bce5253-c946-4a25-a385-b68ca593536a,15680772.0,2618434.0,06308e50
analyse,1706233577.189274,1706233626.894261,True,5be2f8b6,8e583775-4334-454e-ba53-e629609a063f,0.0,249192258.0,06308e50
