func,start,end,is_cold,container_id,provider.request_id,request_id
generate,1655149995.462401,1655149996.428114,False,0efda544,1ardjghvnyt6,a10bcfe1
train,1655149996.679235,1655149997.470413,False,344e9215,vrxj6hnq6jdy,a10bcfe1
train,1655149996.580591,1655149997.514344,False,52fee09a,6rjw15c5map0,a10bcfe1
train,1655150035.458785,1655150036.347601,False,52fee09a,6rjw9keejmb5,c79888ed
generate,1655150034.377871,1655150035.260378,False,0efda544,1ardf2d18xle,c79888ed
train,1655150035.562677,1655150036.352198,False,344e9215,vrxjpxygqnla,c79888ed
generate,1655150073.266991,1655150074.193938,False,0efda544,1ardbmwzj60a,dd09b197
train,1655150074.459963,1655150075.238408,False,52fee09a,6rjwsesf2qi5,dd09b197
train,1655150074.353227,1655150075.220443,False,344e9215,vrxjza8x5p1d,dd09b197
train,1655150113.463629,1655150114.420476,False,344e9215,vrxjkg8tz2lg,cada1c21
train,1655150113.361192,1655150114.247848,False,52fee09a,6rjwpxdq77uj,cada1c21
generate,1655150112.20376,1655150113.158784,False,0efda544,1ardxm89gv7n,cada1c21
train,1655150151.504695,1655150152.248504,False,52fee09a,6rjwtf9jybx7,67495fb0
generate,1655150150.275109,1655150151.152168,False,0efda544,1ardd4qgpp3n,67495fb0
train,1655150151.336666,1655150152.030283,False,344e9215,vrxj5vqwcqj0,67495fb0
train,1655150192.750277,1655150193.596226,False,344e9215,vrxj9m0c2ht1,b400e2b4
generate,1655150191.59168,1655150192.482762,False,0efda544,1ardzu0kx97z,b400e2b4
